ID,Deskripsi Produk,Merek,Kategori,Harga Sewa,Preferensi Pengguna,Jumlah Stok
584,PlayStation 1 Slim,Sony,Playstation,250000,"Gaming, Nostalgia",6
585,Tenda Camping 12 Orang,Bestway,Tenda,350000,"Nyaman, Mudah Dipasang",4
586,Sepatu Running Adidas Solarboost 3D,Adidas,Sepatu,1500000,"Nyaman, Dukungan Kaki",8
587,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman, Tahan Lama",7
588,Tas Selempang Burberry Check,Burberry,Tas,2800000,"Mewah, Desain Klasik",5
589,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Kamera,5500000,"Fotografi, Kualitas Tinggi",3
590,Speaker Bluetooth Sony SRS-XB33,Sony,Speaker,1200000,"Portabel, Suara Bass Tinggi",7
591,Proyektor HD ViewSonic PX727-4K,ViewSonic,Proyektor,4500000,"Kualitas Gambar Tinggi, Terang",4
592,PlayStation Vita Slim,Sony,Playstation,700000,"Gaming, Portabel",8
593,Tenda Camping 4 Orang,Coleman,Tenda,150000,"Nyaman, Mudah Dipasang",6
594,Sepatu Sneakers Vans Authentic,Vans,Sepatu,400000,"Stylish, Nyaman",7
595,Matras Angin Tidur Single,Bestway,Matras,100000,"Nyaman, Mudah Digunakan",6
596,Tas Selempang Coach Signature,Coach,Tas,1800000,"Mewah, Desain Elegan",4
597,Kamera DSLR Nikon D500,Nikon,Kamera,2500000,"Fotografi, Kualitas Tinggi",4
598,Speaker Bluetooth JBL Flip 4,JBL,Speaker,600000,"Portabel, Suara Kualitas Tinggi",7
599,Proyektor HD Epson EH-TW7000,Epson,Proyektor,3500000,"Kualitas Gambar Tinggi, Terang",4
600,PlayStation Classic,Sony,Playstation,400000,"Gaming, Nostalgia",6
601,Kamera DSLR Canon EOS 6D Mark II,Canon,Kamera,7500000,"Fotografi,Kualitas Tinggi",3
602,Speaker Bluetooth JBL Flip 5,JBL,Speaker,800000,"Portabel,Suara Kualitas Tinggi",5
603,Proyektor HD BenQ MH535FHD,BenQ,Proyektor,3500000,"Kualitas Gambar Tinggi, Terang",4
604,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
605,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
606,Sepatu Sneakers Nike Air Max 270,Nike,Sepatu,1200000,"Nyaman,Stylish",8
607,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
608,Tas Selempang Prada Nylon,Prada,Tas,3500000,"Mewah,Desain Elegan",3
609,Kamera Mirrorless Sony Alpha A6400,Sony,Kamera,4500000,"Fotografi,Kualitas Tinggi",4
610,Speaker Bluetooth Bose SoundLink Micro,Bose,Speaker,900000,"Portabel,Suara Bass Tinggi",6
611,Proyektor HD Epson EH-TW7100,Epson,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",3
612,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
613,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
614,Sepatu Running Adidas Ultraboost 20,Adidas,Sepatu,1100000,"Nyaman,Dukungan Kaki",8
615,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
616,Tas Selempang Gucci Dionysus, Gucci,Tas,4000000,"Mewah,Desain Klasik",3
617,Kamera Mirrorless Fujifilm X-T3,Fujifilm,Kamera,5500000,"Fotografi,Kualitas Tinggi",3
618,Speaker Bluetooth Sony SRS-XB32,Sony,Speaker,1000000,"Portabel,Suara Bass Tinggi",7
619,Proyektor HD ViewSonic M1+,ViewSonic,Proyektor,2800000,"Kualitas Gambar Tinggi, Terang",4
620,PlayStation 3 Slim,Sony,Playstation,3000000,"Gaming,Nostalgia",5
621,Tenda Camping 10 Orang,Coleman,Tenda,300000,"Nyaman,Mudah Dipasang",5
622,Sepatu Running Nike Air Zoom Structure,Nike,Sepatu,950000,"Nyaman,Dukungan Kaki",8
623,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
624,Tas Selempang Louis Vuitton Speedy,Louis Vuitton,Tas,3500000,"Mewah,Desain Klasik",4
625,Kamera DSLR Nikon D750,Nikon,Kamera,4500000,"Fotografi,Kualitas Tinggi",3
626,Speaker Bluetooth JBL Charge 4,JBL,Speaker,1500000,"Portabel,Suara Kualitas Tinggi",7
627,Proyektor HD Epson EH-TW9300,Epson,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
628,PlayStation 2,Sony,Playstation,250000,"Gaming,Nostalgia",6
629,Tenda Camping 12 Orang,Bestway,Tenda,350000,"Nyaman,Mudah Dipasang",4
630,Sepatu Sneakers Converse Chuck Taylor,Converse,Sepatu,600000,"Stylish,Nyaman",7
631,Matras Angin Tidur Single,Bestway,Matras,100000,"Nyaman,Mudah Digunakan",6
632,Tas Selempang Hermes Kelly,Hermes,Tas,4500000,"Mewah,Desain Elegan",3
633,Kamera Mirrorless Sony Alpha A7C,Sony,Kamera,6500000,"Fotografi,Kualitas Tinggi",3
634,Speaker Bluetooth Sony SRS-XB23,Sony,Speaker,800000,"Portabel,Suara Bass Tinggi",7
635,Proyektor HD Optoma HD27E,Optoma,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",4
636,PlayStation Vita,Sony,Playstation,1000000,"Gaming,Portabel",7
637,Tenda Camping 4 Orang,Coleman,Tenda,150000,"Nyaman,Mudah Dipasang",6
638,Sepatu Sneakers Puma RS-X,Puma,Sepatu,700000,"Stylish,Nyaman",8
639,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
640,Tas Selempang Chanel Classic Flap,Chanel,Tas,5500000,"Mewah,Desain Klasik",4
641,Kamera DSLR Canon EOS 5D Mark IV,Canon,Kamera,12000000,"Fotografi,Kualitas Tinggi",2
642,Speaker Bluetooth Bose SoundLink Revolve,Bose,Speaker,2000000,"Portabel,Suara Kualitas Tinggi",6
643,Proyektor HD BenQ TK800M,BenQ,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",3
644,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
645,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
646,Sepatu Sneakers Nike Air Force 1,Nike,Sepatu,900000,"Stylish,Nyaman",8
647,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Mudah Digunakan",6
648,Tas Selempang Gucci GG Marmont,Gucci,Tas,3200000,"Mewah,Desain Elegan",3
649,Kamera Mirrorless Fujifilm X-T30,Fujifilm,Kamera,3500000,"Fotografi,Kualitas Tinggi",4
650,Speaker Bluetooth Sony SRS-XB12,Sony,Speaker,500000,"Portabel,Suara Bass Tinggi",7
651,Proyektor HD Epson EH-TW7100,Epson,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",3
652,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
653,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
654,Sepatu Running Adidas Ultraboost 20,Adidas,Sepatu,1100000,"Nyaman,Dukungan Kaki",8
655,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
656,Tas Selempang Louis Vuitton Neverfull,Louis Vuitton,Tas,4200000,"Mewah,Desain Klasik",3
657,Kamera Mirrorless Sony Alpha A6400,Sony,Kamera,4500000,"Fotografi,Kualitas Tinggi",4
658,Speaker Bluetooth JBL Flip 5,JBL,Speaker,800000,"Portabel,Suara Kualitas Tinggi",5
659,Proyektor HD BenQ MH535FHD,BenQ,Proyektor,3500000,"Kualitas Gambar Tinggi, Terang",4
660,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
661,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
662,Sepatu Sneakers Nike Air Max 270,Nike,Sepatu,1200000,"Nyaman,Stylish",8
663,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
664,Tas Selempang Prada Nylon,Prada,Tas,3500000,"Mewah,Desain Elegan",3
665,Kamera Mirrorless Sony Alpha A6400,Sony,Kamera,4500000,"Fotografi,Kualitas Tinggi",4
666,Speaker Bluetooth JBL Charge 4,JBL,Speaker,1500000,"Portabel,Suara Kualitas Tinggi",7
667,Proyektor HD Epson EH-TW9300,Epson,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
668,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
669,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
670,Sepatu Running Adidas Ultraboost 20,Adidas,Sepatu,1100000,"Nyaman,Dukungan Kaki",8
671,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
672,Tas Selempang Louis Vuitton Speedy,Louis Vuitton,Tas,3500000,"Mewah,Desain Klasik",3
673,Kamera Mirrorless Fujifilm X-T3,Fujifilm,Kamera,5500000,"Fotografi,Kualitas Tinggi",3
674,Speaker Bluetooth Sony SRS-XB23,Sony,Speaker,800000,"Portabel,Suara Bass Tinggi",7
675,Proyektor HD ViewSonic M1+,ViewSonic,Proyektor,2800000,"Kualitas Gambar Tinggi, Terang",4
676,PlayStation 3 Slim,Sony,Playstation,3000000,"Gaming,Nostalgia",5
677,Tenda Camping 10 Orang,Coleman,Tenda,300000,"Nyaman,Mudah Dipasang",5
678,Sepatu Running Nike Air Zoom Structure,Nike,Sepatu,950000,"Nyaman,Dukungan Kaki",8
679,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
680,Tas Selempang Gucci Dionysus,Gucci,Tas,4000000,"Mewah,Desain Klasik",3
681,Kamera Mirrorless Sony Alpha A7C,Sony,Kamera,6500000,"Fotografi,Kualitas Tinggi",3
682,Speaker Bluetooth Sony SRS-XB12,Sony,Speaker,500000,"Portabel,Suara Bass Tinggi",7
683,Proyektor HD Epson EH-TW7100,Epson,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",3
684,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
685,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
686,Sepatu Running Adidas Ultraboost 20,Adidas,Sepatu,1100000,"Nyaman,Dukungan Kaki",8
687,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
688,Tas Selempang Louis Vuitton Neverfull,Louis Vuitton,Tas,4200000,"Mewah,Desain Klasik",3
689,Kamera Mirrorless Sony Alpha A6400,Sony,Kamera,4500000,"Fotografi,Kualitas Tinggi",4
690,Speaker Bluetooth JBL Flip 5,JBL,Speaker,800000,"Portabel,Suara Kualitas Tinggi",5
691,Proyektor HD BenQ MH535FHD,BenQ,Proyektor,3500000,"Kualitas Gambar Tinggi, Terang",4
692,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
693,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
694,Sepatu Sneakers Nike Air Max 270,Nike,Sepatu,1200000,"Nyaman,Stylish",8
695,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
696,Tas Selempang Prada Nylon,Prada,Tas,3500000,"Mewah,Desain Elegan",3
697,Kamera Mirrorless Sony Alpha A6400,Sony,Kamera,4500000,"Fotografi,Kualitas Tinggi",4
698,Speaker Bluetooth JBL Charge 4,JBL,Speaker,1500000,"Portabel,Suara Kualitas Tinggi",7
699,Proyektor HD Epson EH-TW9300,Epson,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
700,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
701,Kamera Mirrorless Canon EOS M50,Canon,Camera,5000000,"Fotografi,Kualitas Tinggi",3
702,Speaker Bluetooth Bose SoundLink Mini,Bose,Speaker,2500000,"Portabel,Suara Kualitas Tinggi",5
703,Proyektor HD Optoma HD146X,Optoma,Proyektor,4500000,"Kualitas Gambar Tinggi, Terang",4
704,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
705,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
706,Sepatu Hiking Columbia Peakfreak Venture Mid,Columbia,Sepatu,900000,"Nyaman,Tahan Lama",7
707,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
708,Tas Camping The North Face Terra,TNF,Tas Camping,800000,"Tahan Air,Tahan Lama",6
709,Kamera DSLR Nikon D5600,Nikon,Camera,5500000,"Fotografi,Kualitas Tinggi",3
710,Speaker Bluetooth Harman Kardon Onyx Studio 6,Harman Kardon,Speaker,3500000,"Portabel,Suara Bass Tinggi",4
711,Proyektor HD Epson EH-TW570,Epson,Proyektor,3500000,"Kualitas Gambar Tinggi, Terang",4
712,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
713,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
714,Sepatu Hiking Merrell Moab 2 Mid,Merrell,Sepatu,1100000,"Nyaman,Tahan Lama",8
715,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
716,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
717,Kamera Mirrorless Sony Alpha A7 III,Sony,Camera,10000000,"Fotografi,Kualitas Tinggi",2
718,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
719,Proyektor HD ViewSonic PA503X,ViewSonic,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",5
720,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
721,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
722,Sepatu Hiking Salomon X Ultra 3 Mid,Salomon,Sepatu,1300000,"Nyaman,Tahan Lama",7
723,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
724,Tas Camping Osprey Stratos 34,Osprey,Tas Camping,1600000,"Tahan Air,Tahan Lama",5
725,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,7000000,"Fotografi,Kualitas Tinggi",3
726,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,4000000,"Portabel,Suara Bass Tinggi",3
727,Proyektor HD BenQ MS535A,BenQ,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",6
728,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
729,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
730,Sepatu Hiking Keen Targhee III Mid,Keen,Sepatu,1200000,"Nyaman,Tahan Lama",7
731,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
732,Tas Camping Patagonia Black Hole 32,Patagonia,Tas Camping,1200000,"Tahan Air,Tahan Lama",8
733,Kamera Mirrorless Canon EOS R6,Canon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
734,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
735,Proyektor HD Epson EH-TW7000,Epson,Proyektor,5000000,"Kualitas Gambar Tinggi, Terang",3
736,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
737,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
738,Sepatu Hiking Columbia Redmond Mid,Columbia,Sepatu,950000,"Nyaman,Tahan Lama",8
739,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
740,Tas Camping The North Face Base Camp,TNF,Tas Camping,900000,"Tahan Air,Tahan Lama",7
741,Kamera DSLR Nikon D7500,Nikon,Camera,7500000,"Fotografi,Kualitas Tinggi",3
742,Speaker Bluetooth Harman Kardon Go+Play,Harman Kardon,Speaker,4000000,"Portabel,Suara Bass Tinggi",4
743,Proyektor HD Optoma HD39HDR,Optoma,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
744,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
745,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
746,Sepatu Hiking Merrell Moab 2 Mid,Merrell,Sepatu,1100000,"Nyaman,Tahan Lama",8
747,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
748,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
749,Kamera Mirrorless Sony Alpha A7 III,Sony,Camera,10000000,"Fotografi,Kualitas Tinggi",2
750,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
751,Proyektor HD ViewSonic PA503X,ViewSonic,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",5
752,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
753,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
754,Sepatu Hiking Salomon X Ultra 3 Mid,Salomon,Sepatu,1300000,"Nyaman,Tahan Lama",7
755,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
756,Tas Camping Osprey Stratos 34,Osprey,Tas Camping,1600000,"Tahan Air,Tahan Lama",5
757,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,7000000,"Fotografi,Kualitas Tinggi",3
758,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,4000000,"Portabel,Suara Bass Tinggi",3
759,Proyektor HD BenQ MS535A,BenQ,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",6
760,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
761,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
762,Sepatu Hiking Keen Targhee III Mid,Keen,Sepatu,1200000,"Nyaman,Tahan Lama",7
763,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
764,Tas Camping Patagonia Black Hole 32,Patagonia,Tas Camping,1200000,"Tahan Air,Tahan Lama",8
765,Kamera Mirrorless Canon EOS R6,Canon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
766,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
767,Proyektor HD Epson EH-TW7000,Epson,Proyektor,5000000,"Kualitas Gambar Tinggi, Terang",3
768,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
769,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
770,Sepatu Hiking Columbia Redmond Mid,Columbia,Sepatu,950000,"Nyaman,Tahan Lama",8
771,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",6
772,Tas Camping The North Face Base Camp,TNF,Tas Camping,900000,"Tahan Air,Tahan Lama",7
773,Kamera DSLR Nikon D7500,Nikon,Camera,7500000,"Fotografi,Kualitas Tinggi",3
774,Speaker Bluetooth Harman Kardon Go+Play,Harman Kardon,Speaker,4000000,"Portabel,Suara Bass Tinggi",4
775,Proyektor HD Optoma HD39HDR,Optoma,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
776,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
777,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
778,Sepatu Hiking Merrell Moab 2 Mid,Merrell,Sepatu,1100000,"Nyaman,Tahan Lama",8
779,Matras Angin Tidur Queen,Intex,Matras,300000,"Nyaman,Tahan Lama",6
780,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
781,Kamera Mirrorless Sony Alpha A7 III,Sony,Camera,10000000,"Fotografi,Kualitas Tinggi",2
782,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",4
783,Proyektor HD ViewSonic PA503X,ViewSonic,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",5
784,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
785,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
786,Sepatu Hiking Salomon X Ultra 3 Mid,Salomon,Sepatu,1300000,"Nyaman,Tahan Lama",7
787,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
788,Tas Camping Osprey Stratos 34,Osprey,Tas Camping,1600000,"Tahan Air,Tahan Lama",5
789,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Camera,7000000,"Fotografi,Kualitas Tinggi",3
790,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,4000000,"Portabel,Suara Bass Tinggi",3
791,Proyektor HD BenQ MS535A,BenQ,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",6
792,PlayStation 4 Slim,Sony,Playstation,3500000,"Gaming,Kualitas Grafis Tinggi",4
793,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
794,Sepatu Hiking Keen Targhee III Mid,Keen,Sepatu,1200000,"Nyaman,Tahan Lama",7
795,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
796,Tas Camping Patagonia Black Hole 32,Patagonia,Tas Camping,1200000,"Tahan Air,Tahan Lama",8
797,Kamera Mirrorless Canon EOS R6,Canon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
798,Speaker Bluetooth Sony SRS-XB43,Sony,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
799,Proyektor HD Epson EH-TW7000,Epson,Proyektor,5000000,"Kualitas Gambar Tinggi, Terang",3
800,PlayStation 5,Sony,Playstation,6000000,"Gaming,Kualitas Grafis Tinggi",2
801,Kamera DSLR Canon EOS 6D Mark II,Canon,Camera,9000000,"Fotografi,Kualitas Tinggi",3
802,Speaker Bluetooth JBL Flip 5,JBL,Speaker,1500000,"Portabel,Suara Bass Tinggi",5
803,Proyektor HD Optoma HD28HDR,Optoma,Proyektor,4000000,"Kualitas Gambar Tinggi, Terang",4
804,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
805,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
806,Sepatu Running Nike Air Zoom Pegasus 38,Nike,Sepatu,1600000,"Nyaman,Atletik",9
807,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
808,Tas Camping Deuter Aircontact Lite 40+10,Deuter,Tas Camping,1700000,"Tahan Air,Tahan Lama",5
809,Kamera Mirrorless Sony Alpha A6400,Sony,Camera,7000000,"Fotografi,Kualitas Tinggi",3
810,Speaker Bluetooth Harman Kardon Onyx Studio 6,Harman Kardon,Speaker,5000000,"Portabel,Suara Kualitas Tinggi",2
811,Proyektor HD BenQ TK800M,BenQ,Proyektor,4500000,"Kualitas Gambar Tinggi, Terang",6
812,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
813,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
814,Sepatu Running Adidas Ultraboost 21,Adidas,Sepatu,1800000,"Nyaman,Atletik",8
815,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
816,Tas Camping The North Face Terra 55,TNF,Tas Camping,1900000,"Tahan Air,Tahan Lama",6
817,Kamera DSLR Nikon D850,Nikon,Camera,12000000,"Fotografi,Kualitas Tinggi",2
818,Speaker Bluetooth Bose SoundLink Revolve,Bose,Speaker,3000000,"Portabel,Suara Kualitas Tinggi",5
819,Proyektor HD Epson EH-TW6700,Epson,Proyektor,5500000,"Kualitas Gambar Tinggi, Terang",4
820,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
821,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
822,Sepatu Running New Balance Fresh Foam 1080 V11,New Balance,Sepatu,1700000,"Nyaman,Atletik",7
823,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
824,Tas Camping Osprey Atmos AG 50,Osprey,Tas Camping,2300000,"Tahan Air,Tahan Lama",6
825,Kamera Mirrorless Fujifilm X-T30,Fujifilm,Camera,6000000,"Fotografi,Kualitas Tinggi",3
826,Speaker Bluetooth Sony SRS-XB33,Sony,Speaker,2500000,"Portabel,Suara Kualitas Tinggi",4
827,Proyektor HD ViewSonic PX701-4K,ViewSonic,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",5
828,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
829,Tenda Camping 6 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
830,Sepatu Running ASICS GEL-Kayano 28,ASICS,Sepatu,1900000,"Nyaman,Atletik",8
831,Matras Angin Tidur Double,Intex,Matras,250000,"Nyaman,Tahan Lama",7
832,Tas Camping Black Diamond Creek 35,Black Diamond,Tas Camping,1800000,"Tahan Air,Tahan Lama",5
833,Kamera Mirrorless Canon EOS R5,Canon,Camera,15000000,"Fotografi,Kualitas Tinggi",2
834,Speaker Bluetooth JBL Charge 4,JBL,Speaker,2000000,"Portabel,Suara Bass Tinggi",5
835,Proyektor HD Optoma HD146X,Optoma,Proyektor,3000000,"Kualitas Gambar Tinggi, Terang",6
836,PlayStation 5 Digital Edition,Sony,Playstation,5500000,"Gaming,Kualitas Grafis Tinggi",2
837,Tenda Camping 4 Orang,Coleman,Tenda,200000,"Nyaman,Mudah Dipasang",5
838,Sepatu Running Brooks Ghost 14,Brooks,Sepatu,1600000,"Nyaman,Atletik",9
839,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
840,Tas Camping Deuter Futura Vario 50+10,Deuter,Tas Camping,2100000,"Tahan Air,Tahan Lama",6
841,Kamera Mirrorless Sony Alpha A7S III,Sony,Camera,17000000,"Fotografi,Kualitas Tinggi",3
842,Speaker Bluetooth Ultimate Ears BOOM 3,Ultimate Ears,Speaker,2500000,"Portabel,Suara Kualitas Tinggi",4
843,Proyektor HD BenQ MW526AE,BenQ,Proyektor,2500000,"Kualitas Gambar Tinggi, Terang",6
844,PlayStation 4 Pro,Sony,Playstation,4000000,"Gaming,Kualitas Grafis Tinggi",3
845,Tenda Camping 8 Orang,Coleman,Tenda,250000,"Nyaman,Mudah Dipasang",4
846,Sepatu Running Hoka One One Clifton 8,Hoka One One,Sepatu,1800000,"Nyaman,Atletik",8
847,Matras Angin Tidur Single,Intex,Matras,150000,"Nyaman,Tahan Lama",9
848,Tas Camping Gregory Baltoro 65,Gregory,Tas Camping,2400000,"Tahan Air,Tahan Lama",5
849,Kamera DSLR Nikon D750,Nikon,Camera,10000000,"Fotografi,Kualitas Tinggi",2
850,Speaker Bluetooth Marshall Kilburn II,Marshall,Speaker,3500000,"Portabel,Suara Kualitas Tinggi",5
851,Proyektor HD Epson EH-TW7100,Epson,Proyektor,6000000,"Kualitas Gambar Tinggi, Terang",4
